Countries,rank,currency,salary_women,degree_women,degree_men,labor_force_women,labor_force_men,senior_officials_women,senior_officials_men,mps_women,mps_men,ministers_women,ministers_men
Colombia,42,&#36;,,55.3048,44.6952,59.70000076,82.40000153,53.11872983,46.88127017,19.87951807,80.12048193,29.41176471,70.58823529
Costa Rica,38,&#36;,,63.19237,36.80763,51,84,36.26373626,63.91941392,33.33333333,66.66666667,40.90909091,59.09090909
Croatia,59,&#128;,,59.27675,40.72325,58.40000153,69.5,23.14165498,76.85834502,25.82781457,74.17218543,20,80
Cuba,29,&#36;,,62.57212,37.42788,51.70000076,79.80000305,38.14137065,61.89451023,48.85620915,51.14379085,31.03448276,68.96551724
Cyprus,100,&#128;,,60.34343,39.65657,66,79.5,17.36111111,82.63888889,12.5,87.5,9.090909091,90.90909091
Czech Republic,81,&#36;,0.845,62.18905,37.81095,64.90000153,80.40000153,27.86438036,72.13561964,20,80,18.75,81.25
Denmark,14,&#128;,0.922,57.49169,42.50831,75.5,80.5,26.28865979,73.71134021,37.4301676,62.5698324,26.31578947,73.68421053
Dominican Republic,86,&#36;,,64.12901,35.87099,55.70000076,82.69999695,37.00331126,62.99668874,20.76502732,79.23497268,19.23076923,80.76923077
Ecuador,33,&#36;,,58.50686,41.49314,57.79999924,85.5,35.95890411,64.15525114,41.60583942,58.39416058,23.68421053,76.31578947
Egypt,136,&#36;,,52.08391,47.91609,25.79999924,79.09999847,7.122404159,92.87481582,—,—,11.76470588,88.23529412
El Salvador,62,&#36;,,56.58157,43.41843,51.09999847,82.19999695,43.52030948,56.47969052,32.14285714,67.85714286,21.42857143,78.57142857
Estonia,21,&#128;,,67.46524,32.53476,71.90000153,78.90000153,32.50366032,67.34992679,23.76237624,76.23762376,46.15384615,53.84615385
Ethiopia,124,&#36;,,28.70186,71.29814,80.90000153,90.19999695,26.51384083,73.48615917,38.82783883,61.17216117,12.5,87.5
Fiji,121,&#36;,,,,39.29999924,74.30000305,51,49,16,84,13.33333333,86.66666667
Finland,3,&#128;,0.813,60.13086,39.86914,73.40000153,77.5,33.63499246,66.21417798,41.5,58.5,62.5,37.5
France,15,&#128;,0.859,56.11928,43.88072,66.59999847,75.30000305,32.65023539,67.34976461,26.16984402,73.83015598,50,50
Georgia,82,&#36;,,56.83425,43.16575,60.59999847,78.80000305,33.99339934,66.17161716,11.33333333,88.66666667,15.78947368,84.21052632
Germany,11,&#128;,,,,72,82.69999695,28.99518823,71.00481177,36.45007924,63.54992076,33.33333333,66.66666667
Ghana,63,&#36;,,40.71334,59.28666,68.90000153,72,50.03996803,49.92006395,10.90909091,89.09090909,23.07692308,76.92307692
Greece,87,&#128;,0.931,59.05658,40.94342,58.59999847,77.5,28.304705,71.695295,23,77,10,90
Guatemala,106,&#36;,,58.31693,41.68307,51.29999924,90.09999847,34.21501706,65.78498294,13.29113924,86.70886076,20,80
Guinea,131,&#36;,,,,67.19999695,79.5,23.52941176,75.49019608,21.92982456,78.07017544,14.70588235,85.29411765
Guyana,66,&#36;,,74.86398,25.13602,44.70000076,82.5,26.15384615,75.38461538,30.43478261,69.56521739,29.41176471,70.58823529
Honduras,80,&#36;,,63.08459,36.91541,44.70000076,84.59999847,40.55232558,59.44767442,25.78125,74.21875,17.39130435,82.60869565
